condition,epoch,mean,std,min,max,n,source
Grasp pose prior,1,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,2,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,3,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,4,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,5,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,6,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,7,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,8,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,9,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,10,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,11,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,12,0.0,0.0,0.0,0.0,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,13,9.765625e-05,0.00021836601342771383,0.0,0.00048828125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,14,0.0001953125,0.00043673202685542766,0.0,0.0009765625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,15,9.765625e-05,0.00021836601342771383,0.0,0.00048828125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
